                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1748,                 4.4351,                 1.2329,                0.02875,                0.34982,                0.05671,                0.04417,                0.91714,                 4.4661,                 1.0064,                      0,                      0,                      0
                      2,                 1.2466,                 4.3708,                 1.2485,                0.02986,                0.34982,                0.06754,                0.05181,                0.91834,                 4.4334,                 1.0104,             5.8447e-06,             5.8447e-06,             5.8447e-06
                      3,                 1.2017,                 4.1911,                 1.1934,                0.11701,                0.34982,                 0.0774,                0.05917,                0.94051,                 4.3466,                 1.0229,             1.1619e-05,             1.1619e-05,             1.1619e-05
                      4,                  1.347,                 4.2625,                 1.2511,                0.27049,                0.16483,                0.09445,                 0.0707,                0.95538,                 4.2574,                 1.0318,             1.7322e-05,             1.7322e-05,             1.7322e-05
                      5,                 1.2099,                  4.021,                 1.2919,                0.27169,                0.15257,                0.10275,                0.07599,                0.98215,                 4.1899,                 1.0348,             2.2956e-05,             2.2956e-05,             2.2956e-05
                      6,                 1.1757,                  3.992,                 1.2045,                 0.3584,                0.18008,                0.10724,                0.07827,                0.99306,                 4.0865,                 1.0347,             2.8518e-05,             2.8518e-05,             2.8518e-05
                      7,                 1.2255,                 3.8103,                  1.321,                0.28214,                0.24958,                 0.1143,                0.07426,                 1.0152,                 4.0215,                 1.0462,              3.401e-05,              3.401e-05,              3.401e-05
                      8,                 1.0666,                 3.4692,                 1.2341,                 0.5287,                 0.1683,                0.13431,                0.07787,                 1.0234,                 4.0042,                 1.0538,             3.9431e-05,             3.9431e-05,             3.9431e-05
                      9,                0.99663,                 3.2114,                 1.1626,                0.54641,                0.22867,                0.20843,                0.10551,                 1.0593,                 4.0557,                 1.0812,             4.4782e-05,             4.4782e-05,             4.4782e-05
                     10,                0.99256,                 2.8732,                 1.1154,                0.79943,                0.19231,                0.24125,                0.14079,                 1.0457,                 4.5655,                 1.0803,             5.0062e-05,             5.0062e-05,             5.0062e-05
                     11,                0.89653,                  2.576,                 1.0675,                0.80078,                0.19231,                0.28033,                0.17877,                 1.0273,                 5.5555,                 1.0447,             5.5272e-05,             5.5272e-05,             5.5272e-05
                     12,                0.82594,                 2.4183,                 1.0509,                0.11095,                0.55144,                0.28135,                0.19176,                0.99359,                 6.3794,                 1.0171,             6.0411e-05,             6.0411e-05,             6.0411e-05
                     13,                0.94967,                 2.6576,                 1.2138,                0.13552,                0.52938,                0.35208,                0.24537,                0.96407,                 6.5123,                0.99717,              6.548e-05,              6.548e-05,              6.548e-05
                     14,                0.83989,                 2.1936,                 1.0311,                0.45905,                0.40385,                0.41949,                0.28532,                0.95381,                 5.8799,                 0.9928,             7.0478e-05,             7.0478e-05,             7.0478e-05
                     15,                0.77127,                 1.8807,                 1.0197,                0.59772,                0.38643,                0.49551,                0.34142,                0.93258,                 5.2009,                0.99148,             7.5405e-05,             7.5405e-05,             7.5405e-05
                     16,                0.79588,                 1.9637,                 1.0696,                0.24866,                0.80769,                0.58016,                 0.4355,                0.91098,                 4.6199,                0.99515,             8.0262e-05,             8.0262e-05,             8.0262e-05
                     17,                0.77306,                  1.796,                  1.064,                0.30692,                0.74112,                0.63059,                0.50014,                0.87457,                 4.2222,                0.97803,             8.5048e-05,             8.5048e-05,             8.5048e-05
                     18,                0.73938,                 1.7141,                0.97158,                0.49262,                0.58394,                0.66735,                0.54104,                 0.8377,                 3.7683,                0.96314,             8.9764e-05,             8.9764e-05,             8.9764e-05
                     19,                 0.6728,                 1.5193,                 1.0258,                0.68588,                0.56635,                0.67651,                0.55908,                0.80819,                 3.3191,                0.95816,             9.4409e-05,             9.4409e-05,             9.4409e-05
                     20,                0.67311,                 1.5259,                0.97436,                0.75354,                0.53543,                0.67645,                0.56421,                0.78611,                 2.8607,                0.95395,             9.8984e-05,             9.8984e-05,             9.8984e-05
                     21,                0.70874,                 1.5393,                0.96984,                0.78637,                0.56012,                0.67481,                0.56221,                0.77507,                 2.5428,                0.95485,             0.00010349,             0.00010349,             0.00010349
                     22,                0.73783,                 1.3345,                 1.0095,                0.79433,                0.55385,                0.68847,                0.57833,                0.76528,                  2.326,                0.95311,             0.00010792,             0.00010792,             0.00010792
                     23,                0.70582,                 1.3718,                0.97384,                0.83776,                0.53846,                0.70551,                0.58613,                0.76868,                  2.108,                 0.9611,             0.00011228,             0.00011228,             0.00011228
                     24,                0.61933,                 1.1442,                0.93781,                0.87616,                0.52885,                0.73196,                0.60163,                0.78304,                 1.9513,                0.97134,             0.00011658,             0.00011658,             0.00011658
                     25,                0.60788,                 1.0929,                0.91769,                0.80625,                0.60073,                0.74986,                 0.6086,                0.82354,                 1.8233,                0.99967,              0.0001208,              0.0001208,              0.0001208
                     26,                0.64896,                  1.153,                0.90355,                0.88013,                0.62639,                 0.7686,                0.61737,                0.89591,                 1.7532,                 1.0407,             0.00012495,             0.00012495,             0.00012495
                     27,                0.60432,                 1.0028,                0.95541,                0.86439,                0.67528,                0.80139,                0.62588,                0.93893,                 1.6576,                 1.0635,             0.00012903,             0.00012903,             0.00012903
                     28,                 0.6023,                 1.0106,                0.92606,                0.84055,                0.67628,                0.80992,                0.63706,                0.94189,                 1.5422,                 1.0573,             0.00013304,             0.00013304,             0.00013304
                     29,                0.78561,                 1.3001,                 1.0431,                0.85204,                0.65034,                0.84329,                0.66957,                 0.9278,                 1.4641,                 1.0419,             0.00013698,             0.00013698,             0.00013698
                     30,                0.62631,                0.83283,                0.89824,                0.76154,                0.74389,                0.86279,                0.69558,                0.88572,                 1.3885,                 1.0129,             0.00014085,             0.00014085,             0.00014085
                     31,                0.57492,                0.98529,                0.95272,                0.86719,                0.74353,                 0.8691,                0.70241,                0.83976,                 1.2732,                 0.9847,             0.00014465,             0.00014465,             0.00014465
                     32,                0.57702,                0.85227,                0.90866,                0.72326,                0.77147,                0.87212,                0.72044,                0.81396,                 1.1355,                 0.9692,             0.00014838,             0.00014838,             0.00014838
                     33,                 0.6172,                0.89503,                0.87921,                0.84783,                0.72654,                0.87952,                0.71925,                 0.8034,                 1.0922,                0.96582,             0.00015203,             0.00015203,             0.00015203
                     34,                0.63044,                0.91009,                0.88739,                0.67599,                 0.8872,                 0.8834,                0.71582,                0.82524,                 1.1061,                0.97674,             0.00015562,             0.00015562,             0.00015562
                     35,                0.55962,                0.73265,                0.89594,                0.78223,                 0.7913,                0.89262,                0.71982,                0.86143,                 1.1228,                 0.9933,             0.00015914,             0.00015914,             0.00015914
                     36,                0.60901,                 0.7968,                0.90136,                0.92631,                0.74755,                0.89411,                0.70763,                0.89987,                 1.1457,                 1.0127,             0.00016258,             0.00016258,             0.00016258
                     37,                0.59889,                0.75641,                0.90644,                0.92378,                0.72367,                0.93986,                 0.7364,                0.92067,                 1.1843,                 1.0204,             0.00016596,             0.00016596,             0.00016596
                     38,                0.56202,                0.68375,                0.90381,                0.93307,                0.72377,                 0.9458,                0.74573,                0.90851,                 1.1937,                 1.0152,             0.00016926,             0.00016926,             0.00016926
                     39,                 0.5684,                0.67981,                0.89142,                0.87738,                0.77011,                0.90552,                0.72121,                0.84701,                 1.1486,                0.98777,              0.0001725,              0.0001725,              0.0001725
                     40,                0.57358,                0.71357,                0.91441,                0.88238,                0.80468,                0.89533,                0.72661,                0.78708,                   1.09,                  0.959,             0.00017566,             0.00017566,             0.00017566
                     41,                0.60419,                0.71609,                0.87897,                 0.8978,                0.78589,                0.89425,                0.73771,                0.76855,                 1.0712,                0.94772,             0.00017875,             0.00017875,             0.00017875
                     42,                 0.5886,                0.65857,                0.89695,                0.91286,                0.76938,                 0.8961,                0.74466,                0.77349,                 1.0672,                0.94666,             0.00018177,             0.00018177,             0.00018177
                     43,                0.55938,                0.65788,                0.88653,                0.88414,                0.76203,                0.89604,                0.75837,                 0.7898,                 1.0827,                0.95404,             0.00018473,             0.00018473,             0.00018473
                     44,                0.54822,                0.62901,                0.88881,                0.84746,                0.75827,                0.87506,                0.71783,                0.82379,                 1.0139,                0.96641,             0.00018761,             0.00018761,             0.00018761
                     45,                0.58721,                0.65622,                0.92616,                0.89852,                0.77863,                 0.8789,                0.72002,                0.83329,                0.96265,                0.96933,             0.00019042,             0.00019042,             0.00019042
                     46,                0.57261,                0.59355,                0.93151,                0.91102,                0.77973,                0.95087,                0.78513,                0.81736,                0.94842,                0.96488,             0.00019316,             0.00019316,             0.00019316
                     47,                0.55222,                0.59174,                 0.9139,                 0.9375,                 0.7193,                 0.9471,                0.78878,                0.79182,                0.98877,                0.95163,             0.00019583,             0.00019583,             0.00019583
                     48,                0.59532,                0.66499,                0.94076,                0.89441,                 0.7615,                0.92544,                0.77095,                0.78898,                 0.9896,                0.94751,             0.00019843,             0.00019843,             0.00019843
                     49,                0.58484,                0.65414,                0.90946,                0.91442,                0.74639,                0.94091,                0.77703,                0.80831,                0.95702,                0.95779,             0.00020095,             0.00020095,             0.00020095
                     50,                0.60532,                0.71393,                0.91988,                0.73246,                 0.9359,                 0.9448,                0.78427,                0.80047,                0.84511,                0.96241,             0.00020341,             0.00020341,             0.00020341
                     51,                0.59725,                 0.7526,                0.92212,                0.73246,                 0.9359,                 0.9448,                0.78427,                0.80047,                0.84511,                0.96241,              0.0002058,              0.0002058,              0.0002058
                     52,                0.61863,                 0.6496,                0.90498,                0.90236,                0.91028,                0.95142,                0.78467,                0.78965,                0.78356,                0.96897,             0.00020812,             0.00020812,             0.00020812
                     53,                0.55026,                0.63968,                 0.8858,                0.90236,                0.91028,                0.95142,                0.78467,                0.78965,                0.78356,                0.96897,             0.00021036,             0.00021036,             0.00021036
                     54,                0.61043,                0.59746,                0.89503,                 0.9181,                0.89846,                0.95506,                0.77844,                0.81364,                0.80357,                0.98573,             0.00021254,             0.00021254,             0.00021254
                     55,                0.58078,                0.57678,                0.87497,                 0.9181,                0.89846,                0.95506,                0.77844,                0.81364,                0.80357,                0.98573,             0.00021464,             0.00021464,             0.00021464
                     56,                 0.6216,                 0.5918,                0.91654,                0.90293,                0.92824,                0.95989,                 0.7566,                 0.8517,                0.82675,                 1.0078,             0.00021668,             0.00021668,             0.00021668
                     57,                0.52217,                0.58866,                 0.8887,                0.90293,                0.92824,                0.95989,                 0.7566,                 0.8517,                0.82675,                 1.0078,             0.00021864,             0.00021864,             0.00021864
                     58,                0.52902,                 0.5938,                0.89572,                0.94747,                0.91611,                0.96295,                0.76525,                  0.875,                0.78837,                 1.0163,             0.00022054,             0.00022054,             0.00022054
                     59,                 0.5669,                0.56449,                0.90419,                0.94747,                0.91611,                0.96295,                0.76525,                  0.875,                0.78837,                 1.0163,             0.00022236,             0.00022236,             0.00022236
                     60,                0.53419,                0.52189,                 0.8933,                0.96343,                0.90654,                0.96423,                0.77484,                0.84323,                0.74163,                0.99455,             0.00022411,             0.00022411,             0.00022411
                     61,                 0.5335,                0.50834,                0.87655,                0.96343,                0.90654,                0.96423,                0.77484,                0.84323,                0.74163,                0.99455,             0.00022579,             0.00022579,             0.00022579
                     62,                0.56709,                0.55263,                 0.8672,                0.93958,                0.91325,                0.96295,                0.79866,                0.78336,                0.70912,                0.95524,              0.0002274,              0.0002274,              0.0002274
                     63,                0.56638,                0.56649,                0.92657,                0.93958,                0.91325,                0.96295,                0.79866,                0.78336,                0.70912,                0.95524,             0.00022894,             0.00022894,             0.00022894
                     64,                 0.5558,                0.64196,                0.90362,                0.90271,                0.93256,                0.96423,                0.82392,                0.72537,                0.66761,                0.91594,             0.00023041,             0.00023041,             0.00023041
                     65,                0.55463,                0.57932,                0.90062,                0.90271,                0.93256,                0.96423,                0.82392,                0.72537,                0.66761,                0.91594,             0.00023181,             0.00023181,             0.00023181
